History Channel Functions Measurement Report

Measurements started at Date: 11-sep-2023 Time: 15:47:49

Description of the Function:

User Defined Function: m(1;850). Scope Mode

Time         Seconds   Function Value
15:49:12.412     88,699       4911,3898
15:49:12.953     89,240       4734,4149
15:49:13.504     89,791       4603,7007
15:49:14.018     90,305       4454,1834
15:49:14.570     90,857       4285,2107
15:49:15.120     91,407       4178,2657
15:49:15.694     91,981       4022,3628
15:49:16.229     92,516       3918,7881
15:49:16.777     93,064       3793,9052
15:49:17.363     93,650       3640,4096
15:49:17.901     94,188       3549,3801
15:49:18.458     94,745       3433,3596
15:49:19.042     95,329       3344,8124
15:49:19.578     95,865       3239,8275
15:49:20.086     96,373       3157,2620
15:49:20.651     96,938       3067,7693
15:49:21.219     97,506       2985,4609
15:49:21.873     98,160       2883,7952
15:49:22.441     98,728       2864,0842
15:49:22.980     99,267       2851,4353
15:49:23.520     99,807       2875,0544
15:49:24.032    100,319       2879,3859
15:49:24.586    100,873       2930,6402
15:49:25.117    101,404       2992,5743
15:49:25.660    101,947       3053,9052
15:49:26.201    102,488       3121,4117
15:49:26.754    103,041       3185,0202
15:49:27.332    103,619       3260,6809
15:49:27.875    104,162       3345,8368
15:49:28.408    104,695       3467,2375
15:49:28.936    105,223       3537,2945
15:49:29.487    105,774       3655,1988
15:49:30.013    106,300       3760,3375
15:49:30.546    106,833       3883,9811
15:49:31.095    107,382       4000,0524
15:49:31.633    107,920       4150,8705
15:49:32.164    108,451       4273,4822
15:49:32.732    109,019       4417,6904
15:49:33.280    109,567       4604,2832
15:49:33.800    110,087       4740,6264
15:49:34.346    110,633       4914,7063
15:49:34.889    111,176       5119,5055
15:49:35.425    111,712       5290,6675
15:49:35.959    112,246       5490,8145
15:49:36.499    112,786       5660,0323
15:49:37.077    113,364       5881,4715
15:49:37.643    113,930       6105,5019
15:49:38.175    114,462       6295,3068
15:49:38.743    115,030       6558,6168
15:49:39.304    115,591       6798,1052
15:49:39.830    116,117       6989,8506
15:49:40.386    116,673       7256,4197
15:49:40.924    117,211       7493,8853
15:49:41.476    117,763       7764,7856
15:49:41.985    118,272       8014,5889
15:49:42.567    118,854       8286,1143
15:49:43.122    119,409       8586,6055
15:49:43.678    119,965       8898,5036
15:49:44.243    120,530       9238,6013
15:49:44.784    121,071       9553,2493
15:49:45.286    121,573       9825,3492
15:49:45.819    122,106      10111,3386
15:49:46.352    122,639      10484,1673
15:49:46.896    123,183      10848,1475
15:49:47.425    123,712      11149,2709
15:49:47.941    124,228      11527,4213
15:49:48.505    124,792      11880,9610
15:49:49.083    125,370      12299,1837
15:49:49.624    125,911      12669,6709
15:49:50.202    126,489      13052,0698
15:49:50.776    127,063      13496,5151
15:49:51.333    127,620      13937,5714
15:49:51.868    128,155      14347,0681
15:49:52.429    128,716      14821,6544
15:49:52.991    129,278      15300,8312
15:49:53.543    129,830      15730,9517
15:49:54.099    130,386      16263,3084
15:49:54.657    130,944      16762,4174
15:49:55.195    131,482      17260,9699
15:49:55.836    132,123      17789,1896
15:49:56.373    132,660      18367,9317
15:49:56.915    133,202      18871,7557
15:49:57.474    133,761      19434,8330
15:49:57.986    134,273      19909,5041
15:49:58.528    134,815      20397,1574
15:49:59.106    135,393      20946,4278
15:49:59.656    135,943      21447,2836
15:50:00.185    136,472      21932,1173
15:50:00.751    137,038      22382,7098
15:50:01.289    137,576      22840,0006
15:50:01.821    138,108      23174,9088
15:50:02.374    138,661      23643,8990
15:50:02.970    139,257      24053,8481
15:50:03.511    139,798      24456,5396
15:50:04.049    140,336      24774,0330
15:50:04.581    140,868      25025,2344
15:50:05.139    141,426      25338,0811
15:50:05.709    141,996      25541,1207
15:50:06.240    142,527      25775,5047
15:50:06.786    143,073      25915,1072
15:50:07.358    143,645      26075,4740
15:50:07.900    144,187      26238,9718
15:50:08.434    144,721      26375,5879
15:50:08.960    145,247      26445,4711
15:50:09.508    145,795      26540,5951
15:50:10.026    146,313      26653,2279
15:50:10.558    146,845      26703,4590
15:50:11.163    147,450      26766,8116
15:50:11.704    147,991      26822,2763
15:50:12.246    148,533      26850,0434
15:50:12.784    149,071      26900,7819
15:50:13.321    149,608      26951,8180
15:50:13.829    150,116      26952,0260
15:50:14.363    150,650      27048,5353
15:50:14.916    151,203      27041,8619
15:50:15.463    151,750      27057,9290
15:50:16.012    152,299      27097,9736
15:50:16.515    152,802      27103,3674
15:50:17.071    153,358      27127,8213
15:50:17.644    153,931      27192,7211
15:50:18.165    154,452      27192,9698
15:50:18.741    155,028      27187,6643
15:50:19.295    155,582      27195,0084
15:50:19.867    156,154      27227,7146
15:50:20.408    156,695      27212,7705
15:50:20.946    157,233      27260,1879
15:50:21.517    157,804      27252,2306
15:50:22.059    158,346      27277,7671
15:50:22.619    158,906      27273,9119
15:50:23.158    159,445      27322,7344
15:50:23.708    159,995      27317,4420
15:50:24.218    160,505      27335,7770
15:50:24.750    161,037      27309,4455
15:50:25.299    161,586      27329,5939
15:50:25.825    162,112      27349,1361
15:50:26.379    162,666      27290,6099
15:50:26.937    163,224      27336,7374
15:50:27.503    163,790      27371,9049
15:50:28.034    164,321      27351,2546
15:50:28.596    164,883      27341,2410
15:50:29.147    165,434      27375,1431
15:50:29.687    165,974      27355,8009
15:50:30.209    166,496      27341,9594
15:50:30.746    167,033      27354,1419
15:50:31.304    167,591      27386,4484
15:50:31.860    168,147      27332,4372
15:50:32.422    168,709      27427,3219
15:50:32.973    169,260      27391,6905
15:50:33.515    169,802      27402,8224
15:50:34.068    170,355      27399,4330
15:50:34.597    170,884      27422,9020
15:50:35.167    171,454      27413,1899
15:50:35.774    172,061      27380,5444
15:50:36.338    172,625      27419,8248
15:50:36.893    173,180      27412,8335
15:50:37.430    173,717      27418,0412
15:50:37.983    174,270      27372,9930
15:50:38.540    174,827      27400,5340
15:50:39.100    175,387      27390,6333
15:50:39.646    175,933      27384,5040
15:50:40.200    176,487      27421,3463
15:50:40.741    177,028      27422,4810
15:50:41.285    177,572      27386,8796
15:50:41.832    178,119      27409,9202
15:50:42.367    178,654      27389,2187
15:50:42.914    179,201      27437,6309
15:50:43.485    179,772      27419,7300
15:50:44.016    180,303      27382,3011
15:50:44.592    180,879      27371,1060
15:50:45.128    181,415      27433,6432
15:50:45.697    181,984      27452,7943
