Time (s)	WE(1).Potential (V)	WE(1).Current (A)
2319.00816614507	-0.498046875	-0.018359375
2319.02816614502	-0.498291015625	-0.0152069091796875
2319.04816614497	-0.498443603515625	-0.012738037109375
2319.06816614492	-0.498382568359375	-0.0108123779296875
2319.10816714481	0.000408935546875003	0.0050897216796875
2319.12816714476	0.000848388671875006	0.00360931396484375
2319.14816714471	-0.000140380859374997	0.0025628662109375
2319.16816714466	0.000933837890624997	0.00179107666015625
2319.20816814456	0.604095458984375	0.01619873046875
2319.22816814451	0.60479736328125	0.011297607421875
2319.24816814446	0.60528564453125	0.000161102294921875
2319.26816814441	0.603912353515625	7.373046875E-05
2319.28816814436	0.60455322265625	4.412841796875E-05
2319.30816814431	0.604095458984375	3.73229980468751E-05
2319.32816814426	0.604034423828125	2.85949707031249E-05
2319.34816814421	0.60400390625	2.4139404296875E-05
2319.36816814416	0.60498046875	1.27563476562501E-05
2319.38816814411	0.6051025390625	1.18408203125001E-05
2319.40816814406	0.604217529296875	1.6632080078125E-05
2319.42816814401	0.604888916015625	7.90405273437503E-06
2319.44816814396	0.6053466796875	4.730224609375E-06
2319.46816814391	0.60455322265625	9.1552734375E-06
2319.48816814386	0.604248046875	9.94873046874997E-06
2319.50816814381	0.604949951171875	2.899169921875E-06
2319.52816814375	0.604827880859375	4.60815429687497E-06
2319.5481681437	0.60406494140625	8.97216796875003E-06
2319.56816814365	0.60479736328125	3.38745117187497E-06
2319.5881681436	0.605255126953125	1.00708007812506E-06
2319.60816814355	0.60479736328125	5.21850585937497E-06
2319.6281681435	0.604278564453125	6.04248046875006E-06
2319.64816814345	0.60418701171875	7.29370117187503E-06
2319.6681681434	0.604644775390625	3.509521484375E-06
2319.7081691433	-0.498931884765625	-0.01832275390625
2319.72816914325	-0.498138427734375	-0.014971923828125
2319.7481691432	-0.498291015625	-0.0124053955078125
2319.76816914315	-0.499481201171875	-0.01043701171875
2319.80816914305	0.000451660156250006	0.0054205322265625
2319.828169143	-0.000393676757812503	0.003900146484375
2319.84816914295	-7.93457031249972E-05	0.00279632568359375
2319.8681691429	0.000756835937500006	0.00197540283203125
2319.9081691428	0.603363037109375	0.0163299560546875
2319.92816914274	0.604583740234375	0.0115325927734375
2319.94816914269	0.604339599609375	0.00018609619140625
2319.96816914264	0.604034423828125	7.6751708984375E-05
2319.98816914259	0.605316162109375	4.180908203125E-05
2320.00816914254	0.6051025390625	3.16162109375E-05
2320.02816914249	0.604400634765625	2.9022216796875E-05
2320.04816914244	0.604888916015625	1.96533203125E-05
2320.06816914239	0.605010986328125	1.51977539062501E-05
2320.08816914234	0.604278564453125	1.904296875E-05
2320.10816914229	0.604248046875	1.57470703125E-05
2320.12816914224	0.6046142578125	1.24511718750001E-05
2320.14816914219	0.60479736328125	1.09252929687501E-05
2320.16816914214	0.604705810546875	9.49096679687497E-06
2320.18816914209	0.6044921875	7.72094726562506E-06
2320.20816914204	0.605255126953125	3.44848632812506E-06
2320.22816914199	0.604095458984375	1.1932373046875E-05
2320.24816914194	0.604522705078125	6.561279296875E-06
2320.26816914189	0.604278564453125	8.17871093750006E-06
2320.28816914184	0.6041259765625	8.45336914062494E-06
2320.30816914179	0.60406494140625	8.087158203125E-06
2320.32816914173	0.605194091796875	-9.46044921874972E-07
2320.34816914168	0.604949951171875	1.73950195312494E-06
2320.36816914163	0.605377197265625	-7.93457031249972E-07
2320.40816914153	-0.498321533203125	-0.018341064453125
2320.42816914148	-0.4984130859375	-0.0149658203125
2320.44816914143	-0.4993896484375	-0.0123748779296875
2320.46816914138	-0.498779296875	-0.0104095458984375
2320.50817014128	0.000360107421875006	0.005462646484375
2320.52817014123	0.000714111328125003	0.00393310546875
2320.54817014118	0.000704956054687497	0.00282257080078125
2320.56817014113	-0.000469970703125003	0.0020166015625
2320.60817114103	0.60321044921875	0.0163421630859375
2320.62817114098	0.603729248046875	0.0115814208984375
2320.64817114093	0.604034423828125	0.00019091796875
2320.66817114088	0.605255126953125	6.817626953125E-05
2320.68817114083	0.605194091796875	4.29382324218749E-05
2320.70817114077	0.60400390625	3.9520263671875E-05
2320.72817114072	0.6044921875	2.734375E-05
2320.74817114067	0.604949951171875	1.873779296875E-05
2320.76817114062	0.6048583984375	1.751708984375E-05
2320.78817114057	0.60400390625	1.934814453125E-05
2320.80817114052	0.60540771484375	1.0528564453125E-05
2320.82817114047	0.60528564453125	6.80541992187506E-06
2320.84817114042	0.60498046875	8.66699218750003E-06
2320.86817114037	0.604278564453125	1.07727050781251E-05
2320.88817114032	0.6053466796875	3.41796874999994E-06
2320.90817114027	0.60400390625	1.2359619140625E-05
2320.92817114022	0.60406494140625	1.0650634765625E-05
2320.94817114017	0.60430908203125	7.90405273437503E-06
2320.96817114012	0.605255126953125	1.00708007812506E-06
2320.98817114007	0.604095458984375	9.67407226562494E-06
2321.00817114002	0.60400390625	9.21630859374995E-06
2321.02817113997	0.60516357421875	9.76562499999945E-07
2321.04817113992	0.60540771484375	1.03759765625003E-06
2321.06817113987	0.60400390625	8.14819335937494E-06
2321.10817213976	-0.498077392578125	-0.018353271484375
2321.12817213971	-0.49853515625	-0.014971923828125
2321.14817213966	-0.499481201171875	-0.0123809814453125
2321.16817213961	-0.498748779296875	-0.0104034423828125
2321.20817213951	-0.0004119873046875	0.0054876708984375
2321.22817213946	-0.000143432617187494	0.00396331787109375
2321.24817213941	0.000842285156249997	0.00284210205078125
2321.26817213936	0.000418090820312494	0.002025146484375
2321.30817213926	0.604034423828125	0.0163482666015625
2321.32817213921	0.6048583984375	0.01160888671875
2321.34817213916	0.604095458984375	0.0001944580078125
2321.36817213911	0.603973388671875	7.7972412109375E-05
2321.38817213906	0.604339599609375	4.82177734375E-05
2321.40817213901	0.60491943359375	3.375244140625E-05
2321.42817213896	0.604156494140625	3.08837890624999E-05
2321.44817213891	0.60491943359375	2.06604003906249E-05
2321.46817213886	0.605072021484375	1.4617919921875E-05
2321.48817213881	0.60540771484375	1.04370117187499E-05
2321.50817213876	0.604217529296875	1.57470703125E-05
2321.5281721387	0.604217529296875	1.2054443359375E-05
2321.54817213865	0.60479736328125	9.70458984375006E-06
2321.5681721386	0.604888916015625	7.32421875E-06
2321.58817213855	0.60516357421875	4.60815429687497E-06
2321.6081721385	0.6053466796875	2.25830078125003E-06
2321.62817213845	0.605133056640625	5.09643554687494E-06
2321.6481721384	0.604583740234375	5.85937499999994E-06
2321.66817213835	0.6041259765625	9.97924804687494E-06
2321.6881721383	0.60400390625	8.48388671875005E-06
2321.70817213825	0.604156494140625	8.14819335937494E-06
2321.7281721382	0.60394287109375	8.72802734374997E-06
2321.74817213815	0.6048583984375	2.07519531250006E-06
2321.7681721381	0.6041259765625	8.88061523437497E-06
2321.808173138	-0.49896240234375	-0.01834716796875
2321.82817313795	-0.499420166015625	-0.0149688720703125
2321.8481731379	-0.499664306640625	-0.0123687744140625
2321.86817313785	-0.498504638671875	-0.0104095458984375
2321.90817413775	0.000790405273437503	0.005491943359375
2321.92817413769	0.000637817382812503	0.0039666748046875
2321.94817413764	0.0007476806640625	0.0028533935546875
2321.96817413759	0.000131225585937506	0.00204315185546875
2322.00817513749	0.604583740234375	0.0163543701171875
2322.02817513744	0.6046142578125	0.011627197265625
2322.04817513739	0.604766845703125	0.0001903076171875
2322.06817513734	0.604248046875	7.59277343750001E-05
2322.08817513729	0.605255126953125	4.3365478515625E-05
2322.10817513724	0.603912353515625	4.0283203125E-05
2322.12817513719	0.60406494140625	3.15246582031251E-05
2322.14817513714	0.6041259765625	2.5787353515625E-05
2322.16817513709	0.605224609375	1.416015625E-05
2322.18817513704	0.604248046875	1.8890380859375E-05
2322.20817513699	0.60540771484375	8.45336914062494E-06
2322.22817513694	0.605194091796875	8.02612304687506E-06
2322.24817513689	0.604583740234375	1.13525390624999E-05
2322.26817513684	0.60400390625	1.33361816406249E-05
2322.28817513679	0.6048583984375	7.04956054687497E-06
2322.30817513674	0.60498046875	5.55419921874994E-06
2322.32817513668	0.604888916015625	6.46972656249994E-06
2322.34817513663	0.604278564453125	7.476806640625E-06
2322.36817513658	0.604949951171875	3.23486328124997E-06
2322.38817513653	0.604888916015625	5.27954101562506E-06
2322.40817513648	0.604461669921875	6.98852539062503E-06
2322.42817513643	0.60418701171875	7.65991210937497E-06
2322.44817513638	0.604949951171875	4.425048828125E-06
2322.46817513633	0.60479736328125	2.92968749999997E-06
2322.50817613623	-0.4989013671875	-0.0183502197265625
2322.52817613618	-0.498138427734375	-0.014971923828125
2322.54817613613	-0.4996337890625	-0.0123779296875
2322.56817613608	-0.499664306640625	-0.0103851318359375
2322.60817613598	0.00030517578125	0.005499267578125
2322.62817613593	-0.000430297851562497	0.00398101806640625
2322.64817613588	0.000448608398437494	0.002864990234375
2322.66817613583	0.000836181640625003	0.00204132080078125
2322.70817613573	0.603271484375	0.0163604736328125
2322.72817613568	0.60418701171875	0.0116485595703125
2322.74817613562	0.605072021484375	0.000190216064453125
2322.76817613557	0.604766845703125	7.3822021484375E-05
2322.78817613552	0.60418701171875	5.0537109375E-05
2322.80817613547	0.605316162109375	3.0487060546875E-05
2322.82817613542	0.604736328125	2.899169921875E-05
2322.84817613537	0.604278564453125	2.4261474609375E-05
2322.86817613532	0.60418701171875	2.1331787109375E-05
2322.88817613527	0.60400390625	2.001953125E-05
2322.90817613522	0.604339599609375	1.52587890625E-05
2322.92817613517	0.604339599609375	1.10778808593751E-05
2322.94817613512	0.605255126953125	5.70678710937494E-06
2322.96817613507	0.605316162109375	5.24902343749994E-06
2322.98817613502	0.60498046875	4.82177734375006E-06
2323.00817613497	0.604278564453125	8.94165039062506E-06
2323.02817613492	0.60528564453125	2.34985351562494E-06
2323.04817613487	0.60394287109375	1.01623535156251E-05
2323.06817613482	0.605438232421875	5.49316406250056E-07
2323.08817613477	0.605010986328125	2.56347656250003E-06
2323.10817613472	0.605377197265625	-1.52587890625E-07
2323.12817613467	0.60516357421875	1.22070312500028E-07
2323.14817613461	0.60504150390625	0
2323.16817613456	0.604034423828125	8.94165039062506E-06
2323.20817713446	-0.49847412109375	-0.01837158203125
2323.22817713441	-0.498504638671875	-0.0149810791015625
2323.24817713436	-0.4986572265625	-0.012384033203125
2323.26817713431	-0.49871826171875	-0.0104034423828125
2323.30817713421	-0.000317382812500003	0.0055072021484375
2323.32817713416	-0.0004119873046875	0.0039874267578125
2323.34817713411	-0.000314331054687506	0.0028741455078125
2323.36817713406	0.000817871093750006	0.002044677734375
2323.40817713396	0.604217529296875	0.0163665771484375
2323.42817713391	0.6044921875	0.01165771484375
2323.44817713386	0.605010986328125	0.00019061279296875
2323.46817713381	0.6041259765625	7.830810546875E-05
2323.48817713376	0.6043701171875	4.98046874999999E-05
2323.50817713371	0.60400390625	3.8604736328125E-05
2323.52817713366	0.604949951171875	2.58789062500001E-05
2323.5481771336	0.6053466796875	1.76391601562501E-05
2323.56817713355	0.60498046875	1.5380859375E-05
2323.5881771335	0.605133056640625	1.3702392578125E-05
2323.60817713345	0.6048583984375	1.19934082031251E-05
2323.6281771334	0.604095458984375	1.629638671875E-05
2323.64817713335	0.6044921875	1.39770507812501E-05
2323.6681771333	0.604949951171875	7.01904296875E-06
2323.68817713325	0.60400390625	1.34887695312499E-05
2323.7081771332	0.60418701171875	9.918212890625E-06
2323.72817713315	0.605316162109375	3.14331054687506E-06
2323.7481771331	0.6051025390625	2.31933593749997E-06
2323.76817713305	0.60406494140625	9.79614257812497E-06
2323.788177133	0.60491943359375	3.87573242187494E-06
2323.80817713295	0.60528564453125	2.44140625000056E-07
2323.8281771329	0.604400634765625	6.68334960937503E-06
2323.84817713285	0.604736328125	5.27954101562506E-06
2323.8681771328	0.604888916015625	1.678466796875E-06
2323.9081781327	-0.498870849609375	-0.01837158203125
2323.92817813265	-0.499298095703125	-0.0149658203125
2323.94817813259	-0.49847412109375	-0.0123779296875
2323.96817813254	-0.498504638671875	-0.0104034423828125
2324.00817813244	0.000396728515625	0.0055108642578125
2324.02817813239	0.000674438476562497	0.00398284912109375
2324.04817813234	-0.000161743164062506	0.00287689208984375
2324.06817813229	-0.000363159179687503	0.00205810546875
2324.10817913219	0.604339599609375	0.0163604736328125
2324.12817913214	0.60455322265625	0.011651611328125
2324.14817913209	0.60443115234375	0.00019512939453125
2324.16817913204	0.60491943359375	7.293701171875E-05
2324.18817913199	0.604095458984375	5.10559082031251E-05
2324.20817913194	0.604034423828125	3.924560546875E-05
2324.22817913189	0.60479736328125	2.80151367187501E-05
2324.24817913184	0.60516357421875	1.8951416015625E-05
2324.26817913179	0.6051025390625	1.507568359375E-05
2324.28817913174	0.60516357421875	1.12304687500001E-05
2324.30817913169	0.60455322265625	1.35192871093751E-05
2324.32817913164	0.6044921875	9.67407226562494E-06
2324.34817913158	0.60406494140625	1.3763427734375E-05
2324.36817913153	0.60418701171875	1.129150390625E-05
2324.38817913148	0.604827880859375	7.41577148437506E-06
2324.40817913143	0.60528564453125	2.80761718749994E-06
2324.42817913138	0.605316162109375	1.89208984374994E-06
2324.44817913133	0.605224609375	1.373291015625E-06
2324.46817913128	0.6053466796875	4.88281249999972E-07
2324.48817913123	0.604156494140625	8.27026367187497E-06
2324.50817913118	0.604095458984375	8.60595703124994E-06
2324.52817913113	0.604248046875	7.65991210937497E-06
2324.54817913108	0.60455322265625	4.79125976562494E-06
2324.56817913103	0.6044921875	7.32421875E-06
2324.60818013093	-0.499114990234375	-0.0183624267578125
2324.62818013088	-0.499298095703125	-0.014971923828125
2324.64818013083	-0.499481201171875	-0.0123687744140625
2324.66818013078	-0.49957275390625	-0.0103973388671875
2324.70818013068	-0.000546264648437503	0.00551666259765625
2324.72818013063	0.000726318359375006	0.00398651123046875
2324.74818013057	0.000866699218750003	0.0028729248046875
2324.76818013052	0.000292968749999997	0.002059326171875
2324.80818013042	0.6046142578125	0.0163665771484375
2324.82818013037	0.60357666015625	0.011676025390625
2324.84818013032	0.60479736328125	0.000194671630859375
2324.86818013027	0.605194091796875	7.061767578125E-05
2324.88818013022	0.6044921875	5.023193359375E-05
2324.90818013017	0.604248046875	3.86962890625001E-05
2324.92818013012	0.60498046875	2.50854492187499E-05
2324.94818013007	0.604888916015625	1.94702148437501E-05
2324.96818013002	0.604034423828125	2.28271484375001E-05
2324.98818012997	0.604522705078125	1.6754150390625E-05
2325.00818012992	0.605224609375	9.79614257812497E-06
2325.02818012987	0.604736328125	1.190185546875E-05
2325.04818012982	0.6043701171875	1.47705078125E-05
2325.06818012977	0.604888916015625	6.80541992187506E-06
2325.08818012972	0.605316162109375	4.02832031249994E-06
2325.10818012967	0.6044921875	9.18579101562497E-06
2325.12818012962	0.604248046875	9.21630859374995E-06
2325.14818012956	0.604949951171875	2.593994140625E-06
2325.16818012951	0.60504150390625	3.14331054687506E-06
2325.18818012946	0.605194091796875	3.35693359374972E-07
2325.20818012941	0.604644775390625	4.33349609374994E-06
2325.22818012936	0.60528564453125	6.40869140624972E-07
2325.24818012931	0.605010986328125	2.92968749999997E-06
2325.26818012926	0.60406494140625	8.17871093750006E-06
2325.30818112916	-0.497955322265625	-0.01837158203125
2325.32818112911	-0.499298095703125	-0.01497802734375
2325.34818112906	-0.499542236328125	-0.0123687744140625
2325.36818112901	-0.498931884765625	-0.01038818359375
2325.40818212891	-0.000280761718749994	0.00551788330078125
2325.42818212886	-0.000393676757812503	0.00399932861328125
2325.44818212881	0.000814819335937494	0.00287750244140625
2325.46818212876	0.000634765625000006	0.0020562744140625
2325.50818312866	0.6033935546875	0.0163787841796875
2325.52818312861	0.604522705078125	0.0116668701171875
2325.54818312856	0.60467529296875	0.00019598388671875
2325.5681831285	0.604095458984375	7.8338623046875E-05
2325.58818312845	0.605377197265625	4.241943359375E-05
2325.6081831284	0.605316162109375	3.070068359375E-05
2325.62818312835	0.60418701171875	3.1402587890625E-05
2325.6481831283	0.604461669921875	2.19116210937501E-05
2325.66818312825	0.60479736328125	1.74865722656251E-05
2325.6881831282	0.6041259765625	1.8768310546875E-05
2325.70818312815	0.604400634765625	1.556396484375E-05
2325.7281831281	0.60443115234375	1.15051269531249E-05
2325.74818312805	0.605224609375	6.34765625000006E-06
2325.768183128	0.60394287109375	1.45263671875E-05
2325.78818312795	0.604736328125	6.43920898437497E-06
2325.8081831279	0.60430908203125	9.58251953125003E-06
2325.82818312785	0.6041259765625	1.01318359374999E-05
2325.8481831278	0.60400390625	9.765625E-06
2325.86818312775	0.605224609375	-2.13623046874944E-07
2325.8881831277	0.604736328125	5.24902343749994E-06
2325.90818312765	0.605316162109375	5.18798828124944E-07
2325.9281831276	0.605316162109375	-7.01904296875056E-07
2325.94818312755	0.605010986328125	5.79833984375028E-07
2325.96818312749	0.6048583984375	4.2724609375E-06
2326.00818412739	-0.49884033203125	-0.0183624267578125
2326.02818412734	-0.499053955078125	-0.01497802734375
2326.04818412729	-0.49853515625	-0.0123779296875
2326.06818412724	-0.49847412109375	-0.0103973388671875
2326.10818412714	-0.000296020507812494	0.0055181884765625
2326.12818412709	0.0002899169921875	0.00399749755859375
2326.14818412704	-0.000396728515625	0.002886962890625
2326.16818412699	-0.000387573242187494	0.00206634521484375
2326.20818412689	0.6046142578125	0.01636962890625
2326.22818412684	0.604644775390625	0.0116729736328125
2326.24818412679	0.604705810546875	0.0001932373046875
2326.26818412674	0.60491943359375	7.183837890625E-05
2326.28818412669	0.605377197265625	4.437255859375E-05
2326.30818412664	0.604461669921875	3.69873046874999E-05
2326.32818412659	0.604156494140625	3.2012939453125E-05
2326.34818412654	0.6046142578125	2.459716796875E-05
2326.36818412649	0.604888916015625	1.7578125E-05
2326.38818412643	0.6046142578125	1.65710449218751E-05
2326.40818412638	0.60455322265625	1.361083984375E-05
2326.42818412633	0.6053466796875	8.02612304687506E-06
2326.44818412628	0.604461669921875	1.09252929687501E-05
2326.46818412623	0.604095458984375	1.3763427734375E-05
2326.48818412618	0.60516357421875	3.32641601562503E-06
2326.50818412613	0.605072021484375	4.63867187499994E-06
2326.52818412608	0.604034423828125	1.1322021484375E-05
2326.54818412603	0.604095458984375	9.85717773437506E-06
2326.56818412598	0.605377197265625	1.220703125E-06
2326.58818412593	0.604034423828125	9.82666015624994E-06
2326.60818412588	0.604034423828125	8.42285156249997E-06
2326.62818412583	0.60516357421875	7.62939453125E-07
2326.64818412578	0.605316162109375	-3.66210937499944E-07
2326.66818412573	0.604248046875	6.31713867187494E-06
2326.70818512563	-0.498291015625	-0.0183746337890625
2326.72818512558	-0.498199462890625	-0.01497802734375
2326.74818512553	-0.49957275390625	-0.0123748779296875
2326.76818512548	-0.499053955078125	-0.010382080078125
2326.80818512537	8.23974609374944E-05	0.00551849365234375
2326.82818512532	-0.000521850585937497	0.0040020751953125
2326.84818512527	0.000784301757812494	0.00288238525390625
2326.86818512522	0.000357055664062494	0.002061767578125
2326.90818612512	0.603179931640625	0.0163787841796875
2326.92818612507	0.604888916015625	0.011688232421875
2326.94818612502	0.604766845703125	0.000195648193359375
2326.96818612497	0.604156494140625	7.76062011718751E-05
2326.98818612492	0.605133056640625	4.473876953125E-05
2327.00818612487	0.605194091796875	3.13720703125001E-05
2327.02818612482	0.60455322265625	2.70690917968749E-05
2327.04818612477	0.604248046875	2.44140625E-05
2327.06818612472	0.605224609375	1.29089355468751E-05
2327.08818612467	0.60443115234375	1.73339843750001E-05
2327.10818612462	0.60467529296875	1.416015625E-05
2327.12818612457	0.605224609375	7.41577148437506E-06
2327.14818612452	0.605316162109375	5.24902343749994E-06
2327.16818612447	0.604461669921875	1.15051269531249E-05
2327.18818612441	0.60479736328125	6.74438476562497E-06
2327.20818612436	0.604095458984375	1.19628906249999E-05
2327.22818612431	0.604034423828125	1.068115234375E-05
2327.24818612426	0.604339599609375	8.36181640625003E-06
2327.26818612421	0.60394287109375	9.27734375000003E-06
2327.28818612416	0.60479736328125	4.51660156250006E-06
2327.30818612411	0.60394287109375	8.66699218750003E-06
2327.32818612406	0.60504150390625	1.09863281249997E-06
2327.34818612401	0.604339599609375	5.67626953124997E-06
2327.36818612396	0.604248046875	5.18798828125E-06
2327.40818712386	-0.497833251953125	-0.01837158203125
2327.42818712381	-0.498443603515625	-0.0149871826171875
2327.44818712376	-0.49835205078125	-0.0123748779296875
2327.46818712371	-0.4984130859375	-0.0103973388671875
2327.50818812361	9.15527343750555E-06	0.00552642822265625
2327.52818812356	-0.000302124023437503	0.0040045166015625
2327.54818812351	0.000964355468749997	0.0028857421875
2327.56818812346	-0.000119018554687503	0.002066650390625
2327.60818912335	0.60400390625	0.0163787841796875
2327.6281891233	0.6048583984375	0.0116851806640625
2327.64818912325	0.604156494140625	0.0001990966796875
2327.6681891232	0.6043701171875	7.550048828125E-05
2327.68818912315	0.604217529296875	5.126953125E-05
2327.7081891231	0.604583740234375	3.62243652343749E-05
2327.72818912305	0.604034423828125	3.2623291015625E-05
2327.748189123	0.605377197265625	1.7120361328125E-05
2327.76818912295	0.60528564453125	1.5289306640625E-05
2327.7881891229	0.6046142578125	1.6632080078125E-05
2327.80818912285	0.60430908203125	1.52587890625E-05
2327.8281891228	0.60528564453125	8.392333984375E-06
2327.84818912275	0.605316162109375	6.46972656249994E-06
2327.8681891227	0.604095458984375	1.361083984375E-05
2327.88818912265	0.60455322265625	7.44628906250003E-06
2327.9081891226	0.605194091796875	2.99072265625006E-06
2327.92818912255	0.604278564453125	9.94873046874997E-06
2327.9481891225	0.604095458984375	1.0406494140625E-05
2327.96818912245	0.60516357421875	1.220703125E-06
2327.98818912239	0.60467529296875	6.68334960937503E-06
2328.00818912234	0.604095458984375	7.99560546874994E-06
2328.02818912229	0.60400390625	9.307861328125E-06
2328.04818912224	0.6053466796875	-6.40869140624972E-07
2328.06818912219	0.604339599609375	6.01196289062494E-06
2328.10819012209	-0.498870849609375	-0.0183685302734375
2328.12819012204	-0.49810791015625	-0.0149810791015625
2328.14819012199	-0.49920654296875	-0.0123809814453125
2328.16819012194	-0.499267578125	-0.0103851318359375
2328.20819112184	0.000759887695312503	0.0055181884765625
