Time (s)	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)
101.464825743826	50000	100.138458080598	3.84683837665246	100.212319363718	2.19994678442304
103.965870737511	39520	100.190382990685	4.62831501648501	100.297228993188	2.64490978865718
106.671920730679	31237	100.16945944176	5.66220509450863	100.329363455505	3.23527336566153
109.672976723102	24690	100.199499456684	7.00425097193659	100.444010389112	3.99864536347966
112.899034714957	19515	100.273109226218	8.7379211353152	100.653105762614	4.98024360991768
116.485102705903	15425	100.348435711671	10.9421052619943	100.94324255414	6.2230095797891
120.461176695865	12192	100.409221507737	13.7461869823309	101.345791330193	7.79542637606916
125.042262684299	9636.3	100.513243432074	17.301435053061	101.991429836682	9.76666562040274
130.33335767094	7616.5	100.778105749585	21.8221969239685	103.113698784705	12.2180307354155
136.219468656079	6020.1	101.064487324548	27.5254381373275	104.745789141261	15.235274232921
142.030574641407	4758.3	101.538787378472	34.730803043722	107.31427688035	18.8829803478853
147.811682626811	3761	102.290110469039	43.8422011801579	111.289735843381	23.2002857356306
153.62278861214	2972.7	103.49388268524	55.3295658846778	117.355633074229	28.1297075104839
159.458898597405	2349.6	105.420407775781	69.8219392475686	126.445899798701	33.5172654842713
165.335005582569	1857.2	108.379660374054	87.960376753288	139.582157389029	39.0626070656718
171.131112567935	1467.9	113.073946749917	110.661654958024	158.214156483078	44.3822673629364
176.832218553542	1160.2	120.498426326227	138.845627665598	183.842266818463	49.0466273351233
182.648328538857	917.05	132.092141662651	173.484272098909	218.048450016766	52.7141002484119
188.334433524501	724.84	150.016160148069	215.236618153221	262.357866471746	55.1241772285554
194.120539509893	572.92	177.283970423538	264.241079348133	318.20269355271	56.1416473439065
205.287747481698	452.83	217.942866913632	319.561888026045	386.80601535822	55.7058091055688
211.088853467052	357.92	275.606825169652	377.286304978277	467.230219489554	53.8519528774662
216.844961452519	282.9	353.723620816433	431.713066446235	558.118779171512	50.6705613513633
222.326063438681	223.61	451.557852552449	473.612306217357	654.37994376532	46.3655734856543
227.622158425309	176.74	563.627372508221	494.25236787249	749.640726073553	41.2479559120002
233.198263411231	139.7	678.895387377592	488.32486777036	836.277539747128	35.7272094892296
238.829366397014	110.42	785.859095230433	457.580981652408	909.370591302785	30.2108944986666
244.235466383365	87.273	875.939765836391	409.311637627982	966.853913510832	25.0458781193443
249.106557371066	68.981	944.470639354234	352.27294606774	1008.02828191149	20.4547377313801
254.787661356723	54.523	994.357482872316	295.027119979114	1037.20191152318	16.5256892388328
259.118741345788	43.095	1028.69276406414	242.154105832718	1056.81001784122	13.2462591277643
264.234837332871	34.062	1052.17655436028	196.215843351488	1070.31591538555	10.5635015942467
270.210949317783	26.923	1066.4487161036	157.375291229622	1077.99807345311	8.39452357937115
274.972037305762	21.28	1075.84518965686	125.687645168501	1083.16215603012	6.66348159666179
280.40313829205	16.82	1081.26778288868	99.9399555749053	1085.87661040899	5.280758978041
286.789254275927	13.294	1085.64446397725	79.3561573682106	1088.54090500849	4.18065129913636
292.015354262732	10.508	1088.23574550517	62.9449506452334	1090.05463377159	3.31037288528946
297.966463247707	8.3055	1089.57336826868	49.8254111910811	1090.71201352177	2.61827097174417
304.627584230889	6.5647	1090.16207478599	39.4192086731495	1090.87452225914	2.07085788193395
309.828682217758	5.1887	1091.19117491874	31.1284177477476	1091.63508491255	1.63403391762536
315.684789202973	4.1012	1091.30524694645	24.6675127072074	1091.58399960608	1.29487486842178
322.480915185814	3.2416	1091.84168967651	19.5449991603619	1092.01661265195	1.02553912360304
327.737012172544	2.5622	1092.10263045828	15.3842018916759	1092.21098196353	0.807059261456586
333.638121157645	2.0251	1091.51271292025	12.1902983938574	1091.58078301217	0.639867592503217
340.374246140638	1.6007	1091.64860533685	9.62445153357107	1091.6910311994	0.505131562693066
345.670346127266	1.2652	1091.74524621197	7.5473963169578	1091.77133403365	0.39608788594841
351.961462111383	1	1091.85213730354	6.17874780754664	1091.8696198076	0.324231075839958
