Potential applied (V)	Time (s)	WE(1).Current (A)	WE(1).Potential (V)
0.193023681640625	31.7354129198758	0.00017706298828125	0.1929931640625
0.190582275390625	31.7842409197525	0.000174835205078125	0.1905517578125
0.188140869140625	31.8330689196292	0.000172607421875	0.1881103515625
0.185699462890625	31.8818969195059	0.00017034912109375	0.18572998046875
0.183258056640625	31.9307249193827	0.000168121337890625	0.183197021484375
0.180816650390625	31.9795529192594	0.000165863037109375	0.180816650390625
0.178375244140625	32.0283809191361	0.00016363525390625	0.178314208984375
0.175933837890625	32.0772089190128	0.000161407470703125	0.1759033203125
0.173492431640625	32.1260369188896	0.000159149169921875	0.173431396484375
0.171051025390625	32.1748649187663	0.00015692138671875	0.1710205078125
0.168609619140625	32.223692918643	0.000154693603515625	0.1685791015625
0.166168212890625	32.2725209185197	0.0001524658203125	0.1661376953125
0.163726806640625	32.3213489183964	0.00015020751953125	0.1636962890625
0.161285400390625	32.3701769182732	0.000147979736328125	0.161285400390625
0.158843994140625	32.4190049181499	0.000145721435546875	0.158782958984375
0.156402587890625	32.4678329180266	0.00014349365234375	0.156402587890625
0.153961181640625	32.5166609179033	0.000141265869140625	0.153961181640625
0.151519775390625	32.56548891778	0.0001390380859375	0.151519775390625
0.149078369140625	32.6143169176568	0.00013677978515625	0.149078369140625
0.146636962890625	32.6631449175335	0.000134552001953125	0.14666748046875
0.144195556640625	32.7119729174102	0.000132293701171875	0.144195556640625
0.141754150390625	32.7608009172869	0.00013006591796875	0.141754150390625
0.139312744140625	32.8096289171637	0.000127838134765625	0.139312744140625
0.136871337890625	32.8584569170404	0.000125579833984375	0.136871337890625
0.134429931640625	32.9072849169171	0.00012335205078125	0.13446044921875
0.131988525390625	32.9561129167938	0.000121124267578125	0.13201904296875
0.129547119140625	33.0049409166705	0.000118896484375	0.129547119140625
0.127105712890625	33.0537689165473	0.00011663818359375	0.127166748046875
0.124664306640625	33.102596916424	0.000114410400390625	0.12469482421875
0.122222900390625	33.1514249163007	0.000112152099609375	0.12225341796875
0.119781494140625	33.2002529161774	0.00010992431640625	0.11981201171875
0.117340087890625	33.2490809160541	0.000107696533203125	0.11737060546875
0.114898681640625	33.2979089159309	0.00010546875	0.115020751953125
0.112457275390625	33.3467369158076	0.00010321044921875	0.112518310546875
0.110015869140625	33.3955649156843	0.000100982666015625	0.110076904296875
0.107574462890625	33.444392915561	9.87548828125E-05	0.107696533203125
0.105133056640625	33.4932209154377	9.649658203125E-05	0.105194091796875
0.102691650390625	33.5420489153145	9.4268798828125E-05	0.10272216796875
0.100250244140625	33.5908769151912	9.2041015625E-05	0.100341796875
0.097808837890625	33.6397049150679	8.978271484375E-05	0.09796142578125
0.095367431640625	33.6885329149446	8.7432861328125E-05	0.0953369140625
0.092926025390625	33.7373609148214	8.5205078125E-05	0.092864990234375
0.090484619140625	33.7861889146981	8.294677734375E-05	0.0904541015625
0.088043212890625	33.8350169145748	8.0718994140625E-05	0.08795166015625
0.085601806640625	33.8838449144515	7.8460693359375E-05	0.085540771484375
0.083160400390625	33.9326729143282	7.623291015625E-05	0.08306884765625
0.080718994140625	33.981500914205	7.4005126953125E-05	0.0806884765625
0.078277587890625	34.0303289140817	7.1746826171875E-05	0.078216552734375
0.075836181640625	34.0791569139584	6.951904296875E-05	0.075775146484375
0.073394775390625	34.1279849138351	6.7291259765625E-05	0.0733642578125
0.070953369140625	34.1768129137118	6.5032958984375E-05	0.0709228515625
0.068511962890625	34.2256409135886	6.280517578125E-05	0.068389892578125
0.066070556640625	34.2744689134653	6.0577392578125E-05	0.0660400390625
0.063629150390625	34.323296913342	5.8319091796875E-05	0.063568115234375
0.061187744140625	34.3721249132187	5.609130859375E-05	0.061248779296875
0.058746337890625	34.4209529130954	5.3863525390625E-05	0.058685302734375
0.056304931640625	34.4697809129722	5.1605224609375E-05	0.056304931640625
0.053863525390625	34.5186089128489	4.9365234375E-05	0.05389404296875
0.051422119140625	34.5674369127256	4.713134765625E-05	0.0513916015625
0.048980712890625	34.6162649126023	4.48944091796875E-05	0.0492279052734375
0.046539306640625	34.6650929124791	4.2657470703125E-05	0.046783447265625
0.044097900390625	34.7139209123558	4.04205322265625E-05	0.0443511962890625
0.041656494140625	34.7627489122325	3.81805419921875E-05	0.0419189453125
0.039215087890625	34.8115769121092	3.59375E-05	0.0394622802734375
0.036773681640625	34.8604049119859	3.37127685546875E-05	0.0370361328125
0.034332275390625	34.9092329118627	3.14788818359375E-05	0.034613037109375
0.031890869140625	34.9580609117394	2.92388916015625E-05	0.032159423828125
0.029449462890625	35.0068889116161	2.7001953125E-05	0.0297332763671875
0.027008056640625	35.0557169114928	2.47650146484375E-05	0.02728271484375
0.024566650390625	35.1045449113695	2.25311279296875E-05	0.0248321533203125
0.022125244140625	35.1533729112463	2.0294189453125E-05	0.0224151611328125
0.019683837890625	35.202200911123	1.805419921875E-05	0.019976806640625
0.017242431640625	35.2510289109997	1.58111572265625E-05	0.0175323486328125
0.014801025390625	35.2998569108764	1.35772705078125E-05	0.0150970458984375
0.012359619140625	35.3486849107532	1.13372802734375E-05	0.0126556396484375
0.009918212890625	35.3975129106299	9.100341796875E-06	0.0102264404296875
0.007476806640625	35.4463409105066	6.8634033203125E-06	0.0077789306640625
0.005035400390625	35.4951689103833	4.62249755859375E-06	0.005328369140625
0.002593994140625	35.54399691026	2.3846435546875E-06	0.0029296875
0.000152587890625	35.5928249101368	1.46484375E-07	0.000479125976562494
-0.002288818359375	35.6416529100135	-2.09075927734375E-06	-0.0019500732421875
-0.004730224609375	35.6904809098902	-4.324951171875E-06	-0.00439453125
-0.007171630859375	35.7393089097669	-6.561279296875E-06	-0.00684509277343751
-0.009613037109375	35.7881369096436	-8.80126953125E-06	-0.00928955078125
-0.012054443359375	35.8369649095204	-1.103515625E-05	-0.011724853515625
-0.014495849609375	35.8857929093971	-1.32720947265625E-05	-0.01416015625
-0.016937255859375	35.9346209092738	-1.55120849609375E-05	-0.0165863037109375
-0.019378662109375	35.9834489091505	-1.77490234375E-05	-0.019012451171875
-0.021820068359375	36.0322769090272	-1.99920654296875E-05	-0.0214508056640625
-0.024261474609375	36.081104908904	-2.222900390625E-05	-0.023895263671875
-0.026702880859375	36.1299329087807	-2.4462890625E-05	-0.0263275146484375
-0.029144287109375	36.1787609086574	-2.66998291015625E-05	-0.028753662109375
-0.031585693359375	36.2275889085341	-2.894287109375E-05	-0.031201171875
-0.034027099609375	36.2764169084109	-3.11767578125E-05	-0.0336395263671875
-0.036468505859375	36.3252449082876	-3.34259033203125E-05	-0.0361236572265625
-0.038909912109375	36.3740729081643	-3.56658935546875E-05	-0.0385650634765625
-0.041351318359375	36.422900908041	-3.7890625E-05	-0.041009521484375
-0.043792724609375	36.4717289079177	-4.0130615234375E-05	-0.0434356689453125
-0.046234130859375	36.5205569077945	-4.23675537109375E-05	-0.0458740234375
-0.048675537109375	36.5693849076712	-4.46044921875E-05	-0.0483062744140625
-0.051116943359375	36.6182129075479	-4.6844482421875E-05	-0.050872802734375
-0.053558349609375	36.6670409074246	-4.9078369140625E-05	-0.053314208984375
-0.055999755859375	36.7158689073013	-5.133056640625E-05	-0.055694580078125
-0.058441162109375	36.7646969071781	-5.35888671875E-05	-0.05816650390625
