Time (s)	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)
114.667071710493	50000	100.312168908166	3.8275397479194	100.385164698686	2.18513408072335
117.41311870356	39520	100.28187434872	4.59370017080988	100.387033047858	2.6227647742411
120.324169696211	31237	100.291545934962	5.61617433317058	100.448671470385	3.20512922983835
123.600231687939	24690	100.280649079953	6.93837082594201	100.520393799542	3.95796017428058
127.12129767905	19515	100.348455716135	8.65100542220536	100.720665503302	4.92726664505124
131.002368669251	15425	100.354287386272	10.8326628464863	100.937255664854	6.16089194243227
135.223445658594	12192	100.403595665542	13.6103314251547	101.321878901214	7.71974383190519
140.00953664651	9636.3	100.428247494737	17.1365072098203	101.879795711497	9.68336545933218
145.555637632507	7616.5	100.451051219172	21.6101792399092	102.749275120643	12.1410781639007
151.646751617129	6020.1	100.482475834723	27.2714182106276	104.117521105214	15.1845644365719
157.612862602066	4758.3	100.539261876126	34.4477303816318	106.276946263251	18.9129793789852
163.668973586776	3761	100.528028978456	43.4923287263107	109.532950605426	23.3951829591758
169.685086571586	2972.7	100.592494960093	54.970811614462	114.632631357084	28.655294407574
175.77119655622	2349.6	100.617181566049	69.4685845108935	122.268971780425	34.6221561721093
181.797310541006	1857.2	100.703397232351	87.8394683783363	133.629885950432	41.0968645556704
187.878423525653	1467.9	100.788450636514	111.05772918283	149.973767682738	47.775249933652
193.849533510577	1160.2	100.841251618198	140.391868005721	172.854952576027	54.3109123871886
199.895645495312	917.05	100.941349827587	177.509942351616	204.203172694964	60.3751966459983
206.076759479706	724.84	101.048823331308	224.46058831358	246.157308245603	65.7634334719908
212.222874464189	572.92	101.239051679051	283.971664323929	301.478443215723	70.3782844704197
223.575084435527	452.83	101.493409917159	359.223968004589	373.286446908503	74.2231471547588
229.566195420401	357.92	101.710635875039	454.191842198519	465.440955406579	77.3775670262574
240.663401392383	282.9	101.980561173038	574.44691322215	583.428908237862	79.9332609122677
246.309504378128	223.61	102.366359166511	726.506773039994	733.683148751552	81.979700699664
251.890608364037	176.74	102.857358976074	918.397949821237	924.139832780399	83.609702552149
257.661712349467	139.7	103.685536212982	1161.89326818858	1166.51046162549	84.9005222711365
263.347817335111	110.42	104.81017140839	1469.65887284225	1473.39145326508	85.9208012041706
269.30893032006	87.273	106.515954814828	1859.17851434282	1862.22726776946	86.7209977960505
274.675028306512	68.981	108.942776825952	2351.36261544818	2353.88501799682	87.3472825395904
284.492213281726	54.523	112.825596458245	2978.11084869844	2980.24727872562	87.8303895479571
289.16829826992	43.095	118.768058373502	3767.60178290928	3769.47331152125	88.1944334525281
294.619397256158	34.062	128.988903744432	4765.02453383624	4766.77007473094	88.4493856605267
300.960516240148	26.923	144.515437918572	6029.73567979394	6031.46724105975	88.6270476483094
305.941607227572	21.28	167.439249948753	7621.57433841365	7623.41336268662	88.7414648274864
311.642715213178	16.82	203.651331726905	9633.20498944995	9635.35740041217	88.7889156317437
318.293836196385	13.294	263.555361031134	12192.8755653447	12195.7236759574	88.7617146906679
323.829938182408	10.508	358.882184798724	15429.0052254464	15433.1785018323	88.66752735643
329.911053167055	8.3055	499.260673482422	19489.6305722735	19496.0242373614	88.5325902059279
336.887182149442	6.5647	741.405345378763	24672.4568289821	24683.5939008917	88.2787843889834
351.295448113064	5.1887	1108.56496815152	31225.6721383867	31245.343921657	87.9667553915914
357.266559097989	4.1012	1694.8734839842	39481.1068101276	39517.4694417471	87.5418746372934
364.332688080148	3.2416	2646.74585643137	49909.695949146	49979.8260637704	86.9644084877183
369.973792065906	2.5622	4142.20396719443	63001.1981705974	63137.2221802379	86.2383300903614
376.1549090503	2.0251	6534.55276707687	79541.4965748065	79809.4609506021	85.3035407248623
383.206039032498	1.6007	10356.4957408244	100236.81519844	100770.412945249	84.1011149944199
388.852145018243	1.2652	16311.5204736897	125996.403135642	127047.862253887	82.623503814922
400.804364988066	1	25716.873057698	157654.963809654	159738.677763681	80.7354385216211
