Time (s)	WE(1).Potential (V)
1.79822199545993	0.000155639648437497
1.89822199520745	0.000158691406249994
1.99822199495497	0.000155639648437497
2.0982219947025	0.000155639648437497
2.19822199445002	0.000155639648437497
2.29822199419755	0.000155639648437497
2.39822199394507	0.000155639648437497
2.4982219936926	0.000155639648437497
2.59822199344012	0.000155639648437497
2.69822199318764	0.000155639648437497
2.79822199293517	0.000155639648437497
2.89822199268269	0.000155639648437497
2.99822199243022	0.000155639648437497
