Potential applied (V)	Time (s)	WE(1).Current (A)	WE(1).Potential (V)
0.202789306640625	13.6949619654235	0.00018603515625	0.202423095703125
0.205230712890625	13.7437899653003	0.000188262939453125	0.204833984375
0.207672119140625	13.792617965177	0.000190521240234375	0.20733642578125
0.210113525390625	13.8414459650537	0.0001927490234375	0.209747314453125
0.212554931640625	13.8902739649304	0.000194976806640625	0.212158203125
0.214996337890625	13.9391019648072	0.000197235107421875	0.214630126953125
0.217437744140625	13.9879299646839	0.000199462890625	0.217071533203125
0.219879150390625	14.0367579645606	0.00020172119140625	0.219451904296875
0.222320556640625	14.0855859644373	0.000203948974609375	0.221954345703125
0.224761962890625	14.134413964314	0.0002061767578125	0.224334716796875
0.227203369140625	14.1832419641908	0.00020843505859375	0.226776123046875
0.229644775390625	14.2320699640675	0.000210662841796875	0.229217529296875
0.232086181640625	14.2808979639442	0.000212890625	0.231658935546875
0.234527587890625	14.3297259638209	0.00021514892578125	0.23406982421875
0.236968994140625	14.3785539636976	0.000217376708984375	0.236480712890625
0.239410400390625	14.4273819635744	0.0002196044921875	0.23895263671875
0.241851806640625	14.4762099634511	0.00022186279296875	0.24139404296875
0.244293212890625	14.5250379633278	0.000224090576171875	0.24383544921875
0.246734619140625	14.5738659632045	0.000226348876953125	0.24627685546875
0.249176025390625	14.6226939630812	0.00022857666015625	0.248687744140625
0.251617431640625	14.671521962958	0.000230804443359375	0.2510986328125
0.254058837890625	14.7203499628347	0.000233062744140625	0.253570556640625
0.256500244140625	14.7691779627114	0.00023529052734375	0.2559814453125
0.258941650390625	14.8180059625881	0.000237548828125	0.258453369140625
0.261383056640625	14.8668339624649	0.000239776611328125	0.2608642578125
0.263824462890625	14.9156619623416	0.00024200439453125	0.263336181640625
0.266265869140625	14.9644899622183	0.0002442626953125	0.265716552734375
0.268707275390625	15.013317962095	0.000246490478515625	0.268157958984375
0.271148681640625	15.0621459619717	0.00024871826171875	0.27056884765625
0.273590087890625	15.1109739618485	0.000250946044921875	0.27301025390625
0.276031494140625	15.1598019617252	0.000253173828125	0.275543212890625
0.278472900390625	15.2086299616019	0.00025543212890625	0.27789306640625
0.280914306640625	15.2574579614786	0.000257659912109375	0.28033447265625
0.283355712890625	15.3062859613553	0.000259918212890625	0.282745361328125
0.285797119140625	15.3551139612321	0.00026214599609375	0.28521728515625
