Time (s)	WE(1).Potential (V)	Corrected time (s)	Index	dWE(1).Potential/dt (V/s)	External(1).External 2 (V)	OCP value (V)
2.34520099407894	0.9307861328125	0	1	0	3.00323486328125	0.868453979492188
3.34520099155418	0.931396484375	0.999999997475243	2	0.0006103515625	3.00628662109375	
4.34520098902942	0.93170166015625	1.99999999495049	3	0.000152587890625	3.0010986328125	
5.34520098650466	0.92987060546875	2.99999999242573	4	-0.003509521484375	3.0029296875	
6.34520098397991	0.92926025390625	3.99999998990097	5	0.00111897790338844	3.00628662109375	
7.34520098145515	0.92803955078125	4.99999998737621	6	-0.00213623046875	3.0029296875	
8.34520097893039	0.92620849609375	5.99999998485146	7	-0.00213623046875	3.00323486328125	
9.34520097640564	0.9259033203125	6.9999999823267	8	0.00116984045598656	3.00323486328125	
10.3452009738809	0.92620849609375	7.99999997980194	9	0.00030517578125	3.00537109375	
11.3452009713561	0.927734375	8.99999997727718	10	0.00233968091197312	3.0023193359375	
12.3452009688314	0.92376708984375	9.99999997475243	11	-0.00895182322710752	3.001708984375	
13.3452009663066	0.92376708984375	10.9999999722277	12	0.00513712549582124	3.00628662109375	
14.3452009637818	0.9222412109375	11.9999999697029	13	-0.004119873046875	3.00872802734375	
15.3452009612571	0.92071533203125	12.9999999671782	14	-0.00101725256536156	3.0059814453125	
16.3452009587323	0.91949462890625	13.9999999646534	15	-0.00096638995455578	2.99041748046875	
17.3452009562076	0.91766357421875	14.9999999621286	16	-0.00244140625	3.001708984375	
18.3452009536828	0.91644287109375	15.9999999596039	17	-0.00050862628268078	3.0047607421875	
19.3452009511581	0.9161376953125	16.9999999570791	18	0.00025431314134039	3.0059814453125	
20.3452009486333	0.9130859375	17.9999999545544	19	-0.005645751953125	3.00506591796875	
21.3452009461085	0.91400146484375	18.9999999520296	20	0.00513712549582124	3.00445556640625	
22.3452009435838	0.9124755859375	19.9999999495049	21	-0.0048828125	3.00689697265625	
23.345200941059	0.91156005859375	20.9999999469801	22	0.00040690103196539	3.00506591796875	
24.3452009385343	0.9124755859375	21.9999999444553	23	0.00223795580677688	3.0035400390625	
25.3452009360095	0.90362548828125	22.9999999419306	24	-0.0175984706729651	3.001708984375	
26.3452009334848	0.8795166015625	23.9999999394058	25	-0.0335693359375	3.00445556640625	
27.34520093096	0.88409423828125	24.9999999368811	26	0.0335693359375	3.006591796875	
28.3452009284352	0.87982177734375	25.9999999343563	27	-0.021209716796875	3.00750732421875	
29.3452009259105	0.6280517578125	26.9999999318316	28	-0.455067962408066	0.091583251953125	
30.3452009233857	0.78155517578125	27.9999999293068	29	0.57373046875	0.086944580078125	
31.345200920861	0.8978271484375	28.999999926782	30	-0.0498453788459301	0.08856201171875	
32.3452009183362	0.938720703125	29.9999999242573	31	-0.00951131153851748	0.087982177734375	
33.3452009158115	0.9429931640625	30.9999999217325	32	-0.00111897790338844	0.08929443359375	
34.3452009132867	0.9423828125	31.9999999192078	33	0.00752766942605376	0.08941650390625	
35.3452009107619	0.93505859375	32.999999916683	34	-0.01129150390625	0.088592529296875	
36.3452009082372	0.93353271484375	33.9999999141583	35	0.00554402684792876	0.0906982421875	
37.3452009057124	0.933837890625	34.9999999116335	36	-0.000101725257991347	0.08953857421875	
38.3452009031877	0.931396484375	35.9999999091087	37	-0.005340576171875	0.09027099609375	
39.3452009006629	0.9332275390625	36.999999906584	38	0.00630696630105376	0.090576171875	
40.3452008981382	0.92437744140625	37.9999999040592	39	-0.01917521096766	0.0865478515625	
41.3452008956134	0.9307861328125	38.9999999015345	40	0.022684732452035	0.08990478515625	
42.3452008930886	0.92193603515625	39.9999998990097	41	-0.026652017608285	0.088226318359375	
43.3452008905639	0.977783203125	40.999999896485	42	0.11484781652689	0.09033203125	
44.3452008880391	0.84716796875	41.9999998939602	43	-0.307566314935684	0.089752197265625	
45.3452008855144	0.84869384765625	42.9999998914354	44	0.173797607421875	2.48291015625	
46.3452008829896	0.89141845703125	43.9999998889107	45	0.0330098457634449	3.0230712890625	
47.3452008804649	0.9246826171875	44.9999998863859	46	0.0116475420072675	3.0029296875	
48.3452008779401	0.9246826171875	45.9999998838612	47	-0.024566650390625	3.0224609375	
49.3452008754153	0.9027099609375	46.9999998813364	48	-0.0291951503604651	3.02459716796875	
50.3452008728906	0.91644287109375	47.9999998788117	49	0.050811767578125	3.00537109375	
51.3452008703658	0.91339111328125	48.9999998762869	50	-0.02894083596766	3.0230712890625	
52.3452008678411	0.91644287109375	49.9999998737621	51	0.01373291015625	3.0242919921875	
53.3452008653163	0.91400146484375	50.9999998712374	52	-0.00905354786664248	3.0230712890625	
54.3452008627916	0.91064453125	51.9999998687126	53	-0.002288818359375	3.02337646484375	
55.3452008602668	0.906982421875	52.9999998661879	54	-0.00361124682240188	3.02276611328125	
56.345200857742	0.902099609375	53.9999998636631	55	-0.00579833984375	3.02703857421875	
57.3452008552173	0.90118408203125	54.9999998611383	56	0.00279744458384812	3.02734375	
58.3452008526925	0.899658203125	55.9999998586136	57	-0.00335693359375	3.00689697265625	
59.3452008501678	0.897216796875	56.9999998560888	58	-0.00300089525990188	3.0218505859375	
60.345200847643	0.8551025390625	57.9999998535641	59	-0.0748697891831398	3.04443359375	
61.3452008451183	0.86639404296875	58.9999998510393	60	0.0690205916762352	3.02581787109375	
