Time (s)	WE(1).Potential (V)	Corrected time (s)	Index	dWE(1).Potential/dt (V/s)	External(1).External 2 (V)	User events	OCP value (V)
11646.3200145959	-0.499481201171875	0	1	0	1.17828369140625		-0.360107421875
11647.3200145933	-0.499053955078125	0.999999997475243	2	0.000426829268690199	1.1773681640625		
11648.3200145908	-0.497344970703125	1.99999999495049	3	0.00234756106510758	1.19964599609375		
11649.3200145883	-0.495330810546875	2.99999999242573	4	0.00183943088632077	1.19842529296875		
11650.3200145858	-0.49322509765625	3.99999998990097	5	0.00207825214602053	1.197509765625		
11651.3200145832	-0.49114990234375	4.99999998737621	6	0.00201727636158466	1.1993408203125		
11652.3200145807	-0.489105224609375	5.99999998485146	7	0.00202743895351887	1.21673583984375		
11653.3200145782	-0.487152099609375	6.9999999823267	8	0.00188516255002469	1.2164306640625		
11654.3200145757	-0.48529052734375	7.99999997980194	9	0.00181402440648526	1.2164306640625		
11655.3200145731	-0.483489990234375	8.99999997727718	10	0.00177845533471555	1.21826171875		
11656.3200145706	-0.481781005859375	9.99999997475243	11	0.00165142281912267	1.217041015625		
11657.3200145681	-0.4801025390625	10.9999999722277	12	0.00168191059492528	1.2188720703125		
11658.3200145656	-0.478515625	11.9999999697029	13	0.00151930889114738	1.23504638671875		
11659.320014563	-0.477264404296875	12.9999999671782	14	0.00100101623684168	1.2359619140625		
11660.3200145605	-0.47576904296875	13.9999999646534	15	0.00180894311051816	1.23504638671875		
11661.320014558	-0.47430419921875	14.9999999621286	16	0.00135670730378479	1.236572265625		
11662.3200145555	-0.472930908203125	15.9999999596039	17	0.00130589434411377	1.23565673828125		
11663.3200145529	-0.471588134765625	16.9999999570791	18	0.00134654471185058	1.236572265625		
11664.3200145504	-0.470245361328125	17.9999999545544	19	0.00135162600781769	1.2548828125		
11665.3200145479	-0.468994140625	18.9999999520296	20	0.00117378053255379	1.25518798828125		
11666.3200145454	-0.467742919921875	19.9999999495049	21	0.00128048774786294	1.253662109375		
11667.3200145428	-0.466552734375	20.9999999469801	22	0.00113821134436876	1.25701904296875		
11668.3200145403	-0.46539306640625	21.9999999444553	23	0.00115345523227006	1.2548828125		
11669.3200145378	-0.4642333984375	22.9999999419306	24	0.00116869923658669	1.2542724609375		
11670.3200145353	-0.463134765625	23.9999999394058	25	0.00104674801696092	1.275634765625		
11671.3200145328	-0.462005615234375	24.9999999368811	26	0.00117378053255379	1.27471923828125		
11672.3200145302	-0.4609375	25.9999999343563	27	0.00100609753280878	1.2762451171875		
11673.3200145277	-0.45989990234375	26.9999999318316	28	0.00103150401264429	1.273193359375		
11674.3200145252	-0.458892822265625	27.9999999293068	29	0.000990853644907475	1.27410888671875		
11675.3200145227	-0.4578857421875	28.999999926782	30	0.00101626012474298	1.27471923828125		
11676.3200145201	-0.456878662109375	29.9999999242573	31	0.00100609753280878	1.27471923828125		
11677.3200145176	-0.4559326171875	30.9999999217325	32	0.000894308963324875	1.2945556640625		
11678.3200145151	-0.454986572265625	31.9999999192078	33	0.000965447165071964	1.27716064453125		
11679.3200145126	-0.45404052734375	32.999999916683	34	0.000945121922995895	1.29547119140625		
11680.32001451	-0.453125	33.9999999141583	35	0.000889227667357773	1.29425048828125		
11681.3200145075	-0.452239990234375	34.9999999116335	36	0.000868902425281703	1.295166015625		
11682.320014505	-0.45135498046875	35.9999999091087	37	0.000894308963324875	1.2933349609375		
11683.3200145025	-0.450469970703125	36.999999906584	38	0.00088414631318301	1.295166015625		
11684.3200144999	-0.44964599609375	37.9999999040592	39	0.000772357743699104	1.2921142578125		
11685.3200144974	-0.448760986328125	38.9999999015345	40	0.00095528457313776	1.2939453125		
11686.3200144949	-0.44793701171875	39.9999998990097	41	0.000752032501623034	1.3134765625		
11687.3200144924	-0.447113037109375	40.999999896485	42	0.000843495945446193	1.3140869140625		
11688.3200144898	-0.446319580078125	41.9999998939602	43	0.000767276447732002	1.312255859375		
11689.3200144873	-0.445526123046875	42.9999998914354	44	0.000802845519501716	1.31378173828125		
11690.3200144848	-0.444854736328125	43.9999998889107	45	0.000569105672184378	1.314697265625		
11691.3200144823	-0.444091796875	44.9999998863859	46	0.000879065017215908	1.314697265625		
11692.3200144797	-0.443328857421875	45.9999998838612	47	0.000731707317754626	1.3134765625		
11693.3200144772	-0.44256591796875	46.9999998813364	48	0.000762195093557239	1.3134765625		
11694.3200144747	-0.44183349609375	47.9999998788117	49	0.000706300837919116	1.334228515625		
11695.3200144722	-0.441070556640625	48.9999998762869	50	0.000797764223534614	1.334228515625		
11696.3200144696	-0.44036865234375	49.9999998737621	51	0.000640243873931468	1.3330078125		
11697.3200144671	-0.43963623046875	50.9999998712374	52	0.000777439039666206	1.3323974609375		
11698.3200144646	-0.43890380859375	51.9999998687126	53	0.000721544725820422	1.3330078125		
11699.3200144621	-0.43817138671875	52.9999998661879	54	0.000731707317754626	1.334228515625		
11700.3200144595	-0.4375	53.9999998636631	55	0.000619918690063059	1.33056640625		
11701.320014457	-0.43682861328125	54.9999998611383	56	0.000691056891810149	1.3494873046875		
11702.3200144545	-0.436126708984375	55.9999998586136	57	0.000726626021787524	1.3555908203125		
11703.320014452	-0.435455322265625	56.9999998560888	58	0.000635162577964365	1.33392333984375		
11704.3200144494	-0.434814453125	57.9999998535641	59	0.000624999986030161	1.35009765625		
11705.3200144469	-0.43414306640625	58.9999998510393	60	0.000706300837919116	1.35040283203125		
11706.3200144444	-0.433502197265625	59.9999998485146	61	0.000604674802161753	1.3519287109375		
11707.3200144419	-0.432830810546875	60.9999998459898	62	0.000706300837919116	1.35467529296875		
11708.3200144393	-0.43218994140625	61.999999843465	63	0.000604674802161753	1.35162353515625		
11709.3200144368	-0.43157958984375	62.9999998409403	64	0.000594512210227549	1.3525390625		
11710.3200144343	-0.430938720703125	63.9999998384155	65	0.000675813003908843	1.3543701171875		
11711.3200144318	-0.430328369140625	64.9999998358908	66	0.00057418696815148	1.35528564453125		
11712.3200144292	-0.4296875	65.999999833366	67	0.000675813003908843	1.35467529296875		
11713.3200144267	-0.429107666015625	66.9999998308413	68	0.000518292654305696	1.37298583984375		
11714.3200144242	-0.428497314453125	67.9999998283165	69	0.000655487820040435	1.3739013671875		
11715.3200144217	-0.427886962890625	68.9999998257917	70	0.000599593506194651	1.3720703125		
11716.3200144191	-0.427276611328125	69.999999823267	71	0.000609756098128855	1.37176513671875		
11717.3200144166	-0.42669677734375	70.9999998207422	72	0.000553861784283072	1.3751220703125		
11718.3200144141	-0.42608642578125	71.9999998182175	73	0.000645325228106231	1.373291015625		
11719.3200144116	-0.425506591796875	72.9999998156927	74	0.000543699192348868	1.37451171875		
11720.320014409	-0.4249267578125	73.999999813168	75	0.000589430914260447	1.37451171875		
11721.3200144065	-0.424346923828125	74.9999998106432	76	0.000579268264118582	1.3726806640625		
11722.320014404	-0.42376708984375	75.9999998081184	77	0.000579268264118582	1.39312744140625		
11723.3200144015	-0.4232177734375	76.9999998055937	78	0.000523374008480459	1.39251708984375		
11724.3200143989	-0.422637939453125	77.9999998030689	79	0.000614837394095957	1.39404296875		
11725.3200143964	-0.422088623046875	78.9999998005442	80	0.000513211358338594	1.39312744140625		
11726.3200143939	-0.421539306640625	79.9999997980194	81	0.000558943080250174	1.392822265625		
11727.3200143914	-0.420989990234375	80.9999997954947	82	0.00054878048831597	1.3916015625		
11728.3200143888	-0.420440673828125	81.9999997929699	83	0.00054878048831597	1.39068603515625		
11729.3200143863	-0.419891357421875	82.9999997904451	84	0.00054878048831597	1.38916015625		
11730.3200143838	-0.41937255859375	83.9999997879204	85	0.000492886174470186	1.3946533203125		
11731.3200143813	-0.4188232421875	84.9999997853956	86	0.000584349618293345	1.3934326171875		
11732.3200143787	-0.41827392578125	85.9999997828709	87	0.000538617896381766	1.39251708984375		
11733.3200143762	-0.417755126953125	86.9999997803461	88	0.000492886174470186	1.4129638671875		
11734.3200143737	-0.417205810546875	87.9999997778214	89	0.000584349618293345	1.39251708984375		
11735.3200143712	-0.41668701171875	88.9999997752966	90	0.000482723582535982	1.41082763671875		
11736.3200143686	-0.416168212890625	89.9999997727718	91	0.000528455304447562	1.4111328125		
11737.3200143661	-0.4156494140625	90.9999997702471	92	0.000518292654305696	1.41265869140625		
11738.3200143636	-0.415130615234375	91.9999997677223	93	0.000518292654305696	1.41326904296875		
11739.3200143611	-0.41461181640625	92.9999997651976	94	0.000518292654305696	1.41204833984375		
11740.3200143585	-0.41412353515625	93.9999997626728	95	0.000462398369563743	1.4093017578125		
11741.320014356	-0.41363525390625	94.9999997601481	96	0.000497967470437288	1.41265869140625		
11742.3200143535	-0.413116455078125	95.9999997576233	97	0.000543699192348868	1.4111328125		
11743.320014351	-0.41259765625	96.9999997550985	98	0.000508130062371492	1.4129638671875		
11744.3200143484	-0.412078857421875	97.9999997525738	99	0.000518292654305696	1.4129638671875		
11745.3200143459	-0.411590576171875	98.999999750049	100	0.000462398369563743	1.43157958984375		
11746.3200143434	-0.411102294921875	99.9999997475243	101	0.000497967470437288	1.4312744140625		
11747.3200143409	-0.410614013671875	100.999999745	102	0.000487804878503084	1.42974853515625		
11748.3200143383	-0.41009521484375	101.999999742475	103	0.000543699192348868	1.4324951171875		
11749.3200143358	-0.40960693359375	102.99999973995	104	0.000452235777629539	1.4306640625		
11750.3200143333	-0.40911865234375	103.999999737425	105	0.000497967470437288	1.431884765625		
11751.3200143308	-0.40863037109375	104.9999997349	106	0.000487804878503084	1.4306640625		
11752.3200143282	-0.40814208984375	105.999999732376	107	0.000487804878503084	1.431884765625		
11753.3200143257	-0.40765380859375	106.999999729851	108	0.000487804878503084	1.431884765625		
11754.3200143232	-0.407196044921875	107.999999727326	109	0.000431910564657301	1.42974853515625		
11755.3200143207	-0.406707763671875	108.999999724801	110	0.000523374008480459	1.429443359375		
11756.3200143181	-0.40625	109.999999722277	111	0.000421747972723097	1.431884765625		
11757.3200143156	-0.40576171875	110.999999719752	112	0.000523374008480459	1.45172119140625		
11758.3200143131	-0.405303955078125	111.999999717227	113	0.000421747972723097	1.45050048828125		
11759.3200143106	-0.404815673828125	112.999999714702	114	0.000523374008480459	1.4501953125		
11760.320014308	-0.40435791015625	113.999999712178	115	0.000421747972723097	1.44989013671875		
11761.3200143055	-0.403900146484375	114.999999709653	116	0.000467479665530846	1.4495849609375		
11762.320014303	-0.4034423828125	115.999999707128	117	0.000457317073596641	1.44927978515625		
11763.3200143005	-0.4029541015625	116.999999704603	118	0.000513211358338594	1.4501953125		
11764.3200142979	-0.402496337890625	117.999999702079	119	0.000421747972723097	1.44989013671875		
11765.3200142954	-0.40203857421875	118.999999699554	120	0.000467479665530846	1.44866943359375		
11766.3200142929	-0.401580810546875	119.999999697029	121	0.000457317073596641	1.44866943359375		
11767.3200142904	-0.401123046875	120.999999694504	122	0.000457317073596641	1.468505859375		
11768.3200142878	-0.400665283203125	121.99999969198	123	0.000457317073596641	1.4678955078125		
11769.3200142853	-0.40020751953125	122.999999689455	124	0.000457317073596641	1.466064453125		
11770.3200142828	-0.399749755859375	123.99999968693	125	0.000457317073596641	1.46697998046875		
11771.3200142803	-0.399261474609375	124.999999684405	126	0.000513211358338594	1.466064453125		
11772.3200142778	-0.398834228515625	125.999999681881	127	0.000365853658877313	1.470947265625		
11773.3200142752	-0.39837646484375	126.999999679356	128	0.00050304876640439	1.4691162109375		
11774.3200142727	-0.397918701171875	127.999999676831	129	0.000447154481662437	1.4678955078125		
11775.3200142702	-0.3974609375	128.999999674306	130	0.000457317073596641	1.46881103515625		
11776.3200142677	-0.39703369140625	129.999999671782	131	0.000401422759750858	1.46820068359375		
11777.3200142651	-0.396575927734375	130.999999669257	132	0.000492886174470186	1.4691162109375		
11778.3200142626	-0.396148681640625	131.999999666732	133	0.000391260167816654	1.4697265625		
11779.3200142601	-0.39569091796875	132.999999664207	134	0.000492886174470186	1.48895263671875		
11780.3200142576	-0.395233154296875	133.999999661683	135	0.000447154481662437	1.48895263671875		
11781.320014255	-0.394805908203125	134.999999659158	136	0.000401422759750858	1.485595703125		
11782.3200142525	-0.39434814453125	135.999999656633	137	0.000492886174470186	1.485595703125		
11783.32001425	-0.3939208984375	136.999999654108	138	0.000391260167816654	1.48895263671875		
11784.3200142475	-0.393463134765625	137.999999651583	139	0.000492886174470186	1.48468017578125		
11785.3200142449	-0.393035888671875	138.999999649059	140	0.000391260167816654	1.4886474609375		
11786.3200142424	-0.392608642578125	139.999999646534	141	0.000436991860624403	1.4892578125		
11787.3200142399	-0.39215087890625	140.999999644009	142	0.000482723582535982	1.488037109375		
11788.3200142374	-0.3917236328125	141.999999641484	143	0.000391260167816654	1.4874267578125		
11789.3200142348	-0.39129638671875	142.99999963896	144	0.000436991860624403	1.4874267578125		
11790.3200142323	-0.390869140625	143.999999636435	145	0.000426829268690199	1.48681640625		
11791.3200142298	-0.39044189453125	144.99999963391	146	0.000426829268690199	1.48834228515625		
11792.3200142273	-0.3900146484375	145.999999631385	147	0.000426829268690199	1.48834228515625		
11793.3200142247	-0.38958740234375	146.999999628861	148	0.000426829268690199	1.50787353515625		
11794.3200142222	-0.38916015625	147.999999626336	149	0.000426829268690199	1.5087890625		
11795.3200142197	-0.38873291015625	148.999999623811	150	0.000426829268690199	1.50787353515625		
11796.3200142172	-0.3883056640625	149.999999621286	151	0.000426829268690199	1.5093994140625		
11797.3200142146	-0.38787841796875	150.999999618762	152	0.000426829268690199	1.51153564453125		
11798.3200142121	-0.387451171875	151.999999616237	153	0.000426829268690199	1.5069580078125		
11799.3200142096	-0.38702392578125	152.999999613712	154	0.000426829268690199	1.50909423828125		
11800.3200142071	-0.3865966796875	153.999999611187	155	0.000426829268690199	1.50543212890625		
11801.3200142045	-0.386199951171875	154.999999608663	156	0.000370934954844415	1.5081787109375		
11802.320014202	-0.3857421875	155.999999606138	157	0.000518292654305696	1.507568359375		
11803.3200141995	-0.38531494140625	156.999999603613	158	0.000381097546778619	1.50726318359375		
11804.320014197	-0.384918212890625	157.999999601088	159	0.000381097546778619	1.52740478515625		
11805.3200141944	-0.384490966796875	158.999999598564	160	0.000462398369563743	1.5386962890625		
11806.3200141919	-0.38409423828125	159.999999596039	161	0.000360772362910211	1.507568359375		
11807.3200141894	-0.3836669921875	160.999999593514	162	0.000462398369563743	1.50665283203125		
11808.3200141869	-0.38323974609375	161.999999590989	163	0.000416666676755995	1.5264892578125		
11809.3200141843	-0.3828125	162.999999588465	164	0.000426829268690199	1.5283203125		
11810.3200141818	-0.38238525390625	163.99999958594	165	0.000426829268690199	1.5252685546875		
11811.3200141793	-0.381988525390625	164.999999583415	166	0.000370934954844415	1.527099609375		
11812.3200141768	-0.381561279296875	165.99999958089	167	0.000462398369563743	1.52740478515625		
11813.3200141742	-0.38116455078125	166.999999578366	168	0.000360772362910211	1.52801513671875		
11814.3200141717	-0.3807373046875	167.999999575841	169	0.000462398369563743	1.529541015625		
11815.3200141692	-0.380340576171875	168.999999573316	170	0.000360772362910211	1.5283203125		
11816.3200141667	-0.37994384765625	169.999999570791	171	0.00040650405571796	1.5277099609375		
11817.3200141641	-0.3795166015625	170.999999568267	172	0.000452235777629539	1.52862548828125		
11818.3200141616	-0.379119873046875	171.999999565742	173	0.000360772362910211	1.52801513671875		
11819.3200141591	-0.37872314453125	172.999999563217	174	0.00040650405571796	1.52923583984375		
11820.3200141566	-0.3782958984375	173.999999560692	175	0.000452235777629539	1.5478515625		
11821.320014154	-0.37786865234375	174.999999558167	176	0.000416666676755995	1.54876708984375		
11822.3200141515	-0.37744140625	175.999999555643	177	0.000426829268690199	1.54571533203125		
11823.320014149	-0.377044677734375	176.999999553118	178	0.000370934954844415	1.5478515625		
11824.3200141465	-0.37664794921875	177.999999550593	179	0.00040650405571796	1.54754638671875		
11825.3200141439	-0.376220703125	178.999999548068	180	0.000452235777629539	1.5679931640625		
11826.3200141414	-0.375823974609375	179.999999545544	181	0.000360772362910211	1.56219482421875		
11827.3200141389	-0.37542724609375	180.999999543019	182	0.00040650405571796	1.56646728515625		
11828.3200141364	-0.375030517578125	181.999999540494	183	0.000396341463783756	1.5655517578125		
11829.3200141338	-0.3746337890625	182.999999537969	184	0.000396341463783756	1.5679931640625		
11830.3200141313	-0.374237060546875	183.999999535445	185	0.000396341463783756	1.5673828125		
11831.3200141288	-0.373809814453125	184.99999953292	186	0.000452235777629539	1.566162109375		
11832.3200141263	-0.3734130859375	185.999999530395	187	0.000360772362910211	1.56494140625		
11833.3200141237	-0.373016357421875	186.99999952787	188	0.00040650405571796	1.56494140625		
11834.3200141212	-0.37261962890625	187.999999525346	189	0.000396341463783756	1.56524658203125		
11835.3200141187	-0.372222900390625	188.999999522821	190	0.000396341463783756	1.5643310546875		
11836.3200141162	-0.371826171875	189.999999520296	191	0.000396341463783756	1.58538818359375		
11837.3200141136	-0.371490478515625	190.999999517771	192	0.000284552836092189	1.5850830078125		
11838.3200141111	-0.371124267578125	191.999999515247	193	0.000411585351685062	1.5869140625		
11839.3200141086	-0.3707275390625	192.999999512722	194	0.000411585351685062	1.58294677734375		
11840.3200141061	-0.370330810546875	193.999999510197	195	0.000386178871849552	1.585693359375		
11841.3200141035	-0.36993408203125	194.999999507672	196	0.000396341463783756	1.5850830078125		
11842.320014101	-0.369537353515625	195.999999505148	197	0.000396341463783756	1.5826416015625		
11843.3200140985	-0.369110107421875	196.999999502623	198	0.000452235777629539	1.5838623046875		
11844.320014096	-0.36871337890625	197.999999500098	199	0.000360772362910211	1.5826416015625		
11845.3200140934	-0.368316650390625	198.999999497573	200	0.00040650405571796	1.5850830078125		
11846.3200140909	-0.367919921875	199.999999495049	201	0.000396341463783756	1.5869140625		
11847.3200140884	-0.367523193359375	200.999999492524	202	0.000396341463783756	1.60491943359375		
11848.3200140859	-0.36712646484375	201.999999489999	203	0.000396341463783756	1.60552978515625		
11849.3200140833	-0.366729736328125	202.999999487474	204	0.000396341463783756	1.60369873046875		
11850.3200140808	-0.3663330078125	203.99999948495	205	0.000396341463783756	1.6046142578125		
11851.3200140783	-0.365936279296875	204.999999482425	206	0.000396341463783756	1.60186767578125		
11852.3200140758	-0.36553955078125	205.9999994799	207	0.000396341463783756	1.605224609375		
11853.3200140732	-0.36517333984375	206.999999477375	208	0.000340447149937972	1.605224609375		
11854.3200140707	-0.364776611328125	207.99999947485	209	0.000431910564657301	1.6046142578125		
11855.3200140682	-0.3643798828125	208.999999472326	210	0.000386178871849552	1.60491943359375		
11856.3200140657	-0.363983154296875	209.999999469801	211	0.000396341463783756	1.605224609375		
11857.3200140631	-0.36358642578125	210.999999467276	212	0.000396341463783756	1.60491943359375		
11858.3200140606	-0.363189697265625	211.999999464751	213	0.000396341463783756	1.605224609375		
11859.3200140581	-0.36279296875	212.999999462227	214	0.000396341463783756	1.62322998046875		
11860.3200140556	-0.362396240234375	213.999999459702	215	0.000396341463783756	1.60369873046875		
11861.320014053	-0.362030029296875	214.999999457177	216	0.000340447149937972	1.6058349609375		
11862.3200140505	-0.36163330078125	215.999999454652	217	0.000431910564657301	1.605224609375		
11863.320014048	-0.361236572265625	216.999999452128	218	0.000386178871849552	1.60430908203125		
11864.3200140455	-0.360870361328125	217.999999449603	219	0.000340447149937972	1.62445068359375		
11865.3200140429	-0.360504150390625	218.999999447078	220	0.000376016250811517	1.622314453125		
11866.3200140404	-0.360107421875	219.999999444553	221	0.000421747972723097	1.619873046875		
11867.3200140379	-0.359710693359375	220.999999442029	222	0.000386178871849552	1.62353515625	Skip	
