History Channel Functions Measurement Report

Measurements started at Date: 06-sep-2023 Time: 10:44:50

Description of the Function:

User Defined Function: m(1;550). Scope Mode

Time         Seconds   Function Value
10:44:51.489      0,568      32530,8627
10:44:52.011      1,090      32515,0988
10:44:52.537      1,616      32613,3378
10:44:53.046      2,125      32577,2194
10:44:53.639      2,718      32562,2394
10:44:54.151      3,230      32561,8792
10:44:54.667      3,746      32579,4376
10:44:55.202      4,281      32525,2166
10:44:55.795      4,874      32534,8313
10:44:56.364      5,443      32505,8729
10:44:56.957      6,036      32542,8292
10:44:57.479      6,558      32532,5323
10:44:58.031      7,110      32547,7330
10:44:58.551      7,630      32582,7018
10:44:59.130      8,209      32585,7606
10:44:59.632      8,711      32520,6856
10:45:00.260      9,339      32540,2629
10:45:00.766      9,845      32535,1026
10:45:01.277     10,356      32577,7780
10:45:01.791     10,870      32558,2028
10:45:02.403     11,482      32615,4364
10:45:02.996     12,075      32546,8282
10:45:03.519     12,598      32585,4620
10:45:04.037     13,116      32530,1704
10:45:04.590     13,669      32552,3353
10:45:05.126     14,205      32528,5029
10:45:05.663     14,742      32465,9195
10:45:06.216     15,295      32497,0954
10:45:06.777     15,856      32523,4643
10:45:07.345     16,424      32644,1670
10:45:07.876     16,955      32584,5839
10:45:08.406     17,485      32585,4438
10:45:08.956     18,035      32585,1017
10:45:09.592     18,671      32584,7187
10:45:10.140     19,219      32553,1963
10:45:10.707     19,786      32542,4032
10:45:11.272     20,351      32563,2385
10:45:11.820     20,899      32559,1708
10:45:12.403     21,482      32559,1124
10:45:12.976     22,055      32600,5065
10:45:13.476     22,555      32527,2996
10:45:14.069     23,148      32496,4160
10:45:14.587     23,666      32496,7036
10:45:15.223     24,302      32566,5018
10:45:15.769     24,848      32579,7671
10:45:16.329     25,408      32540,4220
10:45:16.873     25,952      32535,8994
10:45:17.400     26,479      32589,2010
10:45:17.942     27,021      32537,4568
10:45:18.485     27,564      32572,4972
10:45:19.056     28,135      32583,5648
10:45:19.636     28,715      32560,6563
10:45:20.153     29,232      32523,4820
10:45:20.748     29,827      32491,0033
10:45:21.299     30,378      32551,1836
10:45:21.863     30,942      32584,1035
10:45:22.446     31,525      32579,0878
10:45:22.964     32,043      32521,4679
10:45:23.492     32,571      32520,4768
10:45:24.019     33,098      32509,0077
10:45:24.520     33,599      32436,4381
10:45:25.068     34,147      32511,4766
10:45:25.644     34,723      32508,9295
10:45:26.172     35,251      32551,9672
10:45:26.783     35,862      32528,7498
10:45:27.383     36,462      32551,5547
10:45:27.923     37,002      32497,0964
10:45:28.480     37,559      32443,7877
10:45:29.063     38,142      32463,3711
10:45:29.673     38,752      32503,9446
10:45:30.184     39,263      32458,4855
10:45:30.810     39,889      32497,1663
10:45:31.417     40,496      32471,7020
10:45:31.974     41,053      32509,8875
10:45:32.516     41,595      32507,6119
10:45:33.059     42,138      32513,2637
10:45:33.637     42,716      32466,4105
10:45:34.153     43,232      32485,4775
10:45:34.691     43,770      32455,0714
10:45:35.265     44,344      32454,8471
10:45:35.820     44,899      32417,2317
10:45:36.375     45,454      32455,7382
