History Channel Functions Measurement Report

Measurements started at Date: 24-abr.-2024 Time: 11:04:05

Description of the Function:

User Defined Function: m(1;550). Scope Mode

Time         Seconds   Function Value
11:04:23.610     70,800      20183,8108
11:04:23.732     70,922      20276,9818
11:04:23.844     71,034      20203,5128
11:04:23.962     71,152      20204,1040
11:04:24.078     71,268      20174,4117
11:04:24.203     71,393      20256,9719
11:04:24.325     71,515      20199,2121
11:04:24.451     71,641      20255,8370
11:04:24.568     71,758      20198,0988
11:04:24.691     71,881      20157,2836
11:04:24.809     71,999      20300,7402
11:04:24.913     72,103      20211,9718
11:04:25.035     72,225      20294,6528
11:04:25.158     72,348      20325,7796
11:04:25.279     72,469      20269,0550
11:04:25.399     72,589      20203,6883
11:04:25.518     72,708      20082,3261
11:04:25.636     72,826      20194,1574
11:04:25.766     72,956      20167,6365
11:04:25.882     73,072      20202,1257
11:04:26.004     73,194      20252,7905
11:04:26.120     73,310      20305,4490
11:04:26.237     73,427      20265,4344
11:04:26.363     73,553      20162,0719
11:04:26.483     73,673      20223,9654
11:04:26.611     73,801      20306,8649
11:04:26.730     73,920      20295,9833
11:04:26.855     74,045      20179,4789
11:04:26.985     74,175      20202,2808
11:04:27.109     74,299      20308,1016
11:04:27.210     74,400      20237,8491
11:04:27.326     74,516      20122,0391
11:04:27.453     74,643      20137,5367
11:04:27.573     74,763      20217,2962
11:04:27.693     74,883      20118,6221
11:04:27.817     75,007      20270,3209
11:04:27.933     75,123      20331,4001
11:04:28.033     75,223      20093,8293
11:04:28.147     75,337      20275,0102
11:04:28.263     75,453      20174,4837
11:04:28.385     75,575      20250,6561
11:04:28.497     75,687      20159,2077
11:04:28.615     75,805      20246,5666
11:04:28.741     75,931      20137,7937
11:04:28.854     76,044      20139,3094
11:04:28.966     76,156      20216,1873
11:04:29.096     76,286      20228,9210
11:04:29.217     76,407      20252,8460
11:04:29.344     76,534      20277,2615
11:04:29.462     76,652      20238,0519
11:04:29.587     76,777      20152,7434
11:04:29.703     76,893      20261,0511
11:04:29.829     77,019      20126,6868
11:04:29.946     77,136      20082,0376
11:04:30.064     77,254      20309,7342
11:04:30.190     77,380      20273,1178
11:04:30.317     77,507      20167,0925
11:04:30.442     77,632      20154,3876
11:04:30.560     77,750      20183,8962
11:04:30.686     77,876      20191,6964
11:04:30.804     77,994      20179,2585
11:04:30.926     78,116      20248,5578
